accion,ruta,tipo_catalogo,tipo_en_disco,destino
RESCATADO,descargas\coinco\busqueda_global\plan_desarrollo_comunal_y_plan_regulador_de_la_comuna_de_coinco_actualizado__ccf78f87-0cd2-450a-a6c6-35f0e0ef1093.pdf,IMAGEN,IMAGEN,_recuperables_no_pdf\plan_desarrollo_comunal_y_plan_regulador_de_la_comuna_de_coinco_actualizado__ccf78f87-0cd2-450a-a6c6-35f0e0ef1093.jpg
BORRADO,Ordenanzas Descargadas\1-600\colbun_decreto_aprueba_ordenanza_plan_regulador_de_la_comuna_de_colbun__planreg.html.pdf,HTML,HTML,
BORRADO,Ordenanzas ordenadas\OCR ok\colbun_decreto_aprueba_ordenanza_plan_regulador_de_la_comuna_de_colbun__planreg.html.pdf,HTML,HTML,
BORRADO,descargas\colbun\busqueda_global\decreto_aprueba_ordenanza_plan_regulador_de_la_comuna_de_colbun__planreg.html.pdf,HTML,HTML,
BORRADO,descargas\colchane\busqueda_global\atribuciones_esenciales__Navegar.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\colchane_atribuciones_esenciales__Navegar.pdf,HTML,HTML,
BORRADO,descargas\collipulli\busqueda_global\atribuciones_esenciales__Navegar.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\collipulli_atribuciones_esenciales__Navegar.pdf,HTML,HTML,
RESCATADO,Ordenanzas Descargadas\1-600\coltauco_decreto_exento_266_aprobacion_y_modificaciones_de_plan_regulador__1ba0e48a-53a6-40ac-8a56-55ac30f2e7c8.pdf,ZIP_OFFICE,ZIP_OFFICE,_recuperables_no_pdf\coltauco_decreto_exento_266_aprobacion_y_modificaciones_de_plan_regulador__1ba0e48a-53a6-40ac-8a56-55ac30f2e7c8.zip
RESCATADO,descargas\coltauco\busqueda_global\decreto_exento_266_aprobacion_y_modificaciones_de_plan_regulador__1ba0e48a-53a6-40ac-8a56-55ac30f2e7c8.pdf,ZIP_OFFICE,ZIP_OFFICE,_recuperables_no_pdf\decreto_exento_266_aprobacion_y_modificaciones_de_plan_regulador__1ba0e48a-53a6-40ac-8a56-55ac30f2e7c8.zip
BORRADO,Ordenanzas Descargadas\1-600\combarbala_plan_regulador_comunal__navegar.pdf,HTML,HTML,
BORRADO,descargas\combarbala\busqueda_global\plan_regulador_comunal__navegar.pdf,HTML,HTML,
BORRADO,descargas\concepcion\busqueda_global\atribuciones_esenciales__Navegar.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\concepcion_atribuciones_esenciales__Navegar.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\conchali_decreto_municipalidad_de_conchali_aprueba_plan_regulador_comunal__Navegar.pdf,HTML,HTML,
BORRADO,descargas\conchali\busqueda_global\decreto_municipalidad_de_conchali_aprueba_plan_regulador_comunal__Navegar.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\copiapo_decreto_alcaldicio_14092_introduce_enmienda_al_plan_regulador_comunal_de_copiapo__requerimiento%20decreto.docx.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\copiapo_decreto_aprueba_actualizacion_plan_regulador_de_la_comuna_de_copiapo__navegar.pdf,HTML,HTML,
BORRADO,descargas\copiapo\busqueda_global\decreto_alcaldicio_14092_introduce_enmienda_al_plan_regulador_comunal_de_copiapo__requerimiento%20decreto.docx.pdf,HTML,HTML,
BORRADO,descargas\copiapo\busqueda_global\decreto_aprueba_actualizacion_plan_regulador_de_la_comuna_de_copiapo__navegar.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\coquimbo_decreto_aprobacion_actualizacion_del_plan_regulador_comunal_coquimbo__view.pdf,HTML,HTML,
BORRADO,Ordenanzas ordenadas\OCR ok\coquimbo_decreto_aprobacion_actualizacion_del_plan_regulador_comunal_coquimbo__view.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\coquimbo_decreto_promulga_la_actualizacion_del_plan_regulador_comunal_coquimbo__view.pdf,HTML,HTML,
BORRADO,Ordenanzas ordenadas\OCR ok\coquimbo_decreto_promulga_la_actualizacion_del_plan_regulador_comunal_coquimbo__view.pdf,HTML,HTML,
BORRADO,descargas\coquimbo\busqueda_global\decreto_aprobacion_actualizacion_del_plan_regulador_comunal_coquimbo__view.pdf,HTML,HTML,
